username,label_flickr,label_twitter,label_youtube,exists_wikipedia,exists_flickr,exists_twitter,exists_youtube,identity_match_flickr,identity_match_twitter,identity_match_youtube,as_of_MMDDYY
billmckern,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
binksternet,TP,TN,,TRUE,TRUE,FALSE,TRUE,TRUE,,,110112
bizarrelovetriangle,,,,FALSE,FALSE,,,,,,110112
bjenks,,FP,TN,TRUE,,TRUE,FALSE,,FALSE,,110112
bjones,FP,,TN,TRUE,TRUE,,FALSE,FALSE,,,120112
black60dragon,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
blackcab,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
blackgaia02,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
blanchardb,,,TN,TRUE,,,FALSE,,,,120112
bleudxxxiv,,,,FALSE,,FALSE,,,,,110112
bluap,,,,TRUE,,TRUE,,,,,120112
bluefire10,,,,FALSE,,FALSE,FALSE,,,,110112
bluemario1016,,,,FALSE,,FALSE,TRUE,,,,110112
bluemoonset,,,,FALSE,,FALSE,FALSE,,,,110112
bluesatellite,,,TN,TRUE,,,FALSE,,,,110112
bmclaughlin9,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bmcln1,,TN,,TRUE,,FALSE,TRUE,,,,110112
bmcz123,,,,FALSE,,FALSE,,,,,110112
bms4880,TN,,,TRUE,FALSE,,TRUE,,,,110112
bnsf1995,,,,FALSE,FALSE,,TRUE,,,,110112
bobo55,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
boleyn,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bollyjeff,,TN,,TRUE,,FALSE,TRUE,,,,110112
bondegezou,,TP,,TRUE,,TRUE,TRUE,,TRUE,,110112
bongwarrior,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
bonkeroo,,,,FALSE,,FALSE,,,,,110112
bonnie13j,,,,FALSE,,FALSE,FALSE,,,,110112
boogalouie,,,,FALSE,,FALSE,FALSE,,,,110112
bookden,,,,FALSE,,TRUE,,,FALSE,,110112
boringhistoryguy,,,,FALSE,,,FALSE,,,,110112
born2cycle,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bornonjune8,,,,FALSE,,,FALSE,,,,110112
bosleytree,,,,FALSE,,FALSE,,,,,110112
boson,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bouchecl,,TP,,TRUE,,TRUE,,,TRUE,,110112
bovineboy2008,TN,TN,TP,TRUE,FALSE,FALSE,TRUE,,,TRUE,110112
bovlb,,,TN,TRUE,,,FALSE,,,,110112
bozmo,,,,FALSE,,FALSE,,,,,110112
brandmeister,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bretonbanquet,,TN,,TRUE,,FALSE,TRUE,,,,110112
brianboru10,,,,FALSE,,FALSE,,,,,110112
brianboulton,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
brianhe,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
brianwc,,TP,,TRUE,,TRUE,,,TRUE,,110112
bridies,,,,TRUE,,,TRUE,,,,110112
brightstarsky,,,,FALSE,,FALSE,FALSE,,,,110112
britmax,,,TN,TRUE,,,FALSE,,,,110112
brmo,,,,FALSE,FALSE,,FALSE,,,,110112
brouhaha,,TP,,TRUE,,TRUE,,,TRUE,,110112
brownhairedgirl,,,,FALSE,,FALSE,FALSE,,,,110112
bsapr1996,,,,FALSE,,,FALSE,,,,110112
bsuorangecrush,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
bubba73,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
buckshot06,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
buggie111,TN,,,TRUE,FALSE,,TRUE,,,,110112
bull-doser,,,,FALSE,,FALSE,,,,,110112
burbridge92,,TN,,TRUE,,FALSE,TRUE,,,,110112
buster40004,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
buzybody,,,,FALSE,,FALSE,FALSE,,,,110112
bwilkins,,,,TRUE,,,TRUE,,,,110112
bzuk,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
bzweebl,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
c16sh,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
cabe6403,,,TN,TRUE,,,FALSE,,,,110112
cailil,,TN,,TRUE,TRUE,FALSE,,,,,120112
callawayrox,,,,FALSE,,,FALSE,,,,110112
cambalachero,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
cambridgebayweather,TP,,,FALSE,TRUE,FALSE,,TRUE,,,110112
canadaolympic989,,,TN,TRUE,,,FALSE,,,,110112
canadarox11,,,,FALSE,,FALSE,,,,,110112
canadianjudoka,,,,FALSE,,FALSE,,,,,110112
cancun771,,,,TRUE,,TRUE,,,,,120112
capeverdewave,,,,FALSE,,,FALSE,,,,110112
capitalsasha,,,,FALSE,,FALSE,,,,,110112
capriaf,,,,TRUE,,,TRUE,,,,120112
captainfugu,,,,FALSE,,FALSE,,,,,110112
carcharoth,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
cardamon,,,,TRUE,,,TRUE,,,,110112
caribdigita,,,,FALSE,,FALSE,FALSE,,,,110112
caringtype1,,TN,TP,TRUE,,FALSE,TRUE,,,TRUE,110112
carolehenson,,,,FALSE,,FALSE,,,,,110112
carptrash,,TN,,TRUE,,FALSE,TRUE,,,,110112
carrite,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
cartoondiablo,,,,FALSE,,FALSE,,,,,110112
catgamer,,TN,,TRUE,,FALSE,TRUE,,,,110112
catpath,,,,FALSE,,FALSE,,,,,110112
ccs81,,,,FALSE,,FALSE,FALSE,,,,110112
celuici,,,,TRUE,,TRUE,,,,,110112
ceosion,,TP,,TRUE,,TRUE,,,TRUE,,110112
cerebellum,,,,TRUE,,TRUE,,,,,110112
chakakong,,,,FALSE,,,FALSE,,,,110112
chanheigeorge,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
chaos5023,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
charlesdrakew,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
charlieechotango,,,,FALSE,FALSE,,FALSE,,,,110112
chemterm,,,,FALSE,,,FALSE,,,,110112
cherkash,,,TN,TRUE,,,FALSE,,,,110112
chipmunkdavis,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
chipmunkraccoon,,,,FALSE,,,FALSE,,,,110112
chizeroone,,,,FALSE,,,FALSE,,,,110112
choess,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
chongdae,,,,FALSE,,,FALSE,,,,120112
chowbok,TN,TP,TP,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,120112
chrisrus,,,,TRUE,,TRUE,,,,,120112
christensenmj,,,,FALSE,,,FALSE,,,,110112
christhedude,,,,FALSE,,,FALSE,,,,110112
christiaandewet,,,,FALSE,,,FALSE,,,,110112
christophes,,,,FALSE,,,FALSE,,,,110112
chronodm,,,TN,TRUE,,,FALSE,,,,110112
cirt,,TN,,TRUE,,FALSE,TRUE,,,,110112
cityofsilver,,,,FALSE,,FALSE,,,,,110112
cjlippert,,,,FALSE,,,FALSE,,,,110112
cla68,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
clarityfiend,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
clausule,,,,TRUE,,TRUE,,,,,110112
clemrutter,,,,FALSE,,FALSE,,,,,110112
cmbj,,,,FALSE,FALSE,FALSE,,,,,120112
cmguy777,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
cmr08,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
cnilep,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
codecat,,,,FALSE,,FALSE,,,,,110112
coffeewithmarkets,,,,FALSE,,,FALSE,,,,110112
coinmanj,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
colaxtra,,,,FALSE,,,FALSE,,,,110112
colinfine,,,,FALSE,,,FALSE,,,,110112
collect,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
connormah,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
coppaar,,,,FALSE,FALSE,,TRUE,,,,110112
cordobaes,,,,TRUE,,,TRUE,,,,110112
coren,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
cornellier,TP,,TN,TRUE,TRUE,,FALSE,TRUE,,,110112
correctknowledge,,,,FALSE,FALSE,,,,,,110112
coulraphobic123,TN,,,TRUE,FALSE,,TRUE,,,,120112
courtneybonnick,,,,FALSE,,FALSE,FALSE,,,,110112
coyets,,TP,,TRUE,,TRUE,TRUE,,TRUE,,110112
cpiral,,TP,,TRUE,,TRUE,TRUE,,TRUE,,110112
cr85747,,,,FALSE,FALSE,,,,,,120112
craigboy,,,,TRUE,,TRUE,TRUE,,,,120112
crazyc83,,,,FALSE,,,FALSE,,,,110112
crboyer,,TN,,TRUE,,FALSE,TRUE,,,,110112
creativity97,,TN,,TRUE,,FALSE,TRUE,,,,110112
cresix,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
crgreathouse,,,,FALSE,,FALSE,,,,,110112
crrayshead90,,,,FALSE,,,FALSE,,,,110112
crusoe8181,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
cs-wolves,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
cs46,,,,FALSE,,,FALSE,,,,110112
cumbrianram,,,,FALSE,,,FALSE,,,,110112
cupco,,,,TRUE,,TRUE,,,,,110112
curtaintoad,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
cuzkatzimhut,,,,TRUE,,,TRUE,,,,110112
cwmhiraeth,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
cyberlink420,,,,TRUE,TRUE,,TRUE,,,,120112
cyberpower678,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
cybervoron,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
cynwolfe,,,TN,TRUE,,TRUE,FALSE,,,,110112
czar,,,,TRUE,,,TRUE,,,,110112
czmarlin,,,,FALSE,,FALSE,FALSE,,,,110112
czolgolz,,,TP,TRUE,,,TRUE,,,TRUE,110112
d-day,,,TN,TRUE,TRUE,,FALSE,,,,110112
d4nnyw14,,TN,,TRUE,,FALSE,TRUE,,,,110112
dabbler,,TN,,TRUE,,FALSE,TRUE,,,,110112
dadaneem,,,,FALSE,,FALSE,FALSE,,,,110112
dagizza,,,,FALSE,FALSE,,,,,,120112
dagosnavy,,,,FALSE,,FALSE,FALSE,,,,110112
dahuzybru,,,,FALSE,,,FALSE,,,,110112
dajf,,,,FALSE,FALSE,TRUE,FALSE,,FALSE,,110112
dak4blizzard,,,,FALSE,,FALSE,,,,,110112
danbarnesdavies,,TP,TN,TRUE,,TRUE,FALSE,,TRUE,,110112
danielc46,,,,FALSE,,,FALSE,,,,110112
danielrigal,,,,FALSE,,FALSE,FALSE,,,,110112
dank,TN,,TN,TRUE,FALSE,TRUE,FALSE,,,,110112
danlaycock,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
dantd,,,,FALSE,,,FALSE,,,,110112
danwiki2011,,,,FALSE,,,FALSE,,,,110112
darkfireyoshi,,,TP,TRUE,,,TRUE,,,TRUE,110112
darkreason,,,TN,TRUE,,,FALSE,,,,110112
darthbotto,,,TP,TRUE,,,TRUE,,,TRUE,110112
dave.dunford,,,,FALSE,,FALSE,,,,,110112
davejb,,,,FALSE,,FALSE,,,,,110112
davejohnsan,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
david1217,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
davidanstiss,,,,FALSE,,,FALSE,,,,110112
davidcane,,TP,,TRUE,,TRUE,TRUE,,TRUE,,110112
davidiad,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
dawgdeputy,,,,FALSE,,FALSE,,,,,110112
dawnbtvs,,,,FALSE,,FALSE,,,,,110112
dawynn,TN,,,TRUE,FALSE,,TRUE,,,,110112
dbromage,,,TN,TRUE,,,FALSE,,,,110112
dcheagle,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
dci2026,,,,FALSE,,,FALSE,,,,110112
dcirovic,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
dcmacnut,TP,TP,,TRUE,TRUE,TRUE,,TRUE,TRUE,,110112
dcoetzee,,TP,,TRUE,,TRUE,,,TRUE,,110112
dcshank,,TN,,TRUE,,FALSE,TRUE,,,,110112
ddima,,,,FALSE,,,FALSE,,,,110112
deanlaw,,,,TRUE,,,TRUE,,,,110112
debresser,,,TN,TRUE,,TRUE,FALSE,,,,110112
decausa,,,,FALSE,,,FALSE,,,,110112
deepblue1,,,,TRUE,,TRUE,,,,,110112
delaywaves,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
delljvc,,,TN,TRUE,,,FALSE,,,,110112
deltaquad,,,,FALSE,,FALSE,FALSE,,,,110112
demirbajraktarevic,,,,FALSE,,FALSE,,,,,110112
demiurge1000,TN,TN,,TRUE,FALSE,FALSE,TRUE,,,,110112
demonicinfluence,,,,FALSE,,,FALSE,,,,110112
denelson83,,,TP,TRUE,,,TRUE,,,TRUE,110112
dengero,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
denverjeffrey,,,TP,TRUE,,,TRUE,,,TRUE,110112
deor,,,TN,TRUE,,,FALSE,,,,110112
depiep,,,,FALSE,,FALSE,TRUE,,,,110112
depressedper,,,,FALSE,,,FALSE,,,,110112
derborg,,,,FALSE,,,FALSE,,,,110112
derbycountyinnz,,,,FALSE,FALSE,,FALSE,,,,120112
deturtlemon1,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
dexdor,,,,FALSE,,FALSE,FALSE,,,,110112
dh85868993,,,,FALSE,,,FALSE,,,,110112
dialectric,,TN,,TRUE,,FALSE,TRUE,,,,110112
dickdaniels,,,,FALSE,,,FALSE,,,,110112
dicklyon,TN,,,TRUE,FALSE,,TRUE,,,,120112
diddykong1130,,,TN,TRUE,,,FALSE,,,,110112
diendjap,,,,FALSE,,,FALSE,,,,110112
dimitris1408,,TN,,TRUE,,FALSE,TRUE,,,,110112
dimitrissss,,,,TRUE,,,TRUE,,,,110112
dionyziz,TP,TP,TP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,110112
direktor,,TN,,TRUE,,FALSE,TRUE,,,,110112
disavian,TP,TP,TN,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,110112
diseman,,,,FALSE,,,FALSE,,,,110112
dismas,,TN,TN,TRUE,TRUE,FALSE,FALSE,,,,120112
divantrainin,,,,FALSE,,,FALSE,,,,110112
diverman,,,,TRUE,,,TRUE,,,,120112
divinealpha,,,,FALSE,,,FALSE,,,,110112
divingpetrel,TN,,,TRUE,FALSE,,TRUE,,,,120112
djharrity,TP,,TN,TRUE,TRUE,TRUE,FALSE,TRUE,,,110112
djjazzyb,,,,FALSE,,FALSE,,,,,110112
djmaschek,,,TN,TRUE,,,FALSE,,,,110112
djunbalanced,,TP,,TRUE,,TRUE,,,TRUE,,110112
dkendr,TN,,TN,TRUE,FALSE,,FALSE,,,,110112
dlsnider,,,TN,TRUE,,,FALSE,,,,110112
dm1693,,,,FALSE,FALSE,,,,,,120112
dmighton,,,,FALSE,FALSE,,TRUE,,,,110112
dmol,,,TN,TRUE,,,FALSE,,,,110112
doc9871,,TN,,TRUE,,FALSE,TRUE,,,,110112
doctorjoee,,,,FALSE,,,FALSE,,,,110112
doctorkubla,,,,FALSE,,,TRUE,,,,110112
dogweather,,TP,,TRUE,,TRUE,,,TRUE,,110112
doktorbuk,,TN,,TRUE,,FALSE,TRUE,,,,110112
dolphonia,,TP,,TRUE,,TRUE,,,TRUE,,110112
dom497,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
doncram,,TN,TN,TRUE,TRUE,FALSE,FALSE,,,,110112
doniago,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
donmike10,,,TN,TRUE,,,FALSE,,,,110112
doremo,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
dorismith,,,,FALSE,FALSE,,FALSE,,,,110112
dorje108,TN,TN,,TRUE,FALSE,FALSE,,,,,110112
dormskirk,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
dough4872,,TN,TN,TRUE,,FALSE,FALSE,,,,110112
dpbsmith,,,,TRUE,,,TRUE,,,,110112
dr.k.,,,,FALSE,FALSE,,FALSE,,,,110112
dragonflysixtyseven,,,,FALSE,,FALSE,FALSE,,,,110112
dravecky,TN,,TN,TRUE,FALSE,,FALSE,,,,120112
